0,324.865
1,332.09
2,339.435
3,346.8
4,357.495
5,372.325
6,388.385
7,412.14
8,444.685
9,487.085
10,525.72
11,586.295
12,632.835
13,685.8954545
14,738
15,769.375
16,800.95
17,827.125
18,853.3
19,872.625
20,891.95
21,907.6486842
22,923.5142857
23,936.6071429
24,949.7
25,959.675
26,969.65
27,978.6647059
28,987.2086957
29,995.1793478
30,1003.15
31,1012.075
32,1018.6
33,1025.425
34,1032.525
35,1038.8
36,1044.725
37,1049.1875
38,1053.0125
39,1055.75
40,1057.95
41,1059.8875
42,1061.7875
43,1062.8625
44,1063.5375
45,1063.523684
46,1063.234211
47,1061.34
48,1057.812308
49,1052.866667
50,1045.097857
51,1036.175
52,1023.925
53,1007.254545
54,991.25
55,967.8678571
56,941.65
57,912.425
58,877.6555556
59,827.425
60,769.05
